Label	Hemisphere	Category	PrimaryLabel	LayerLevel	Summary
Analisi Algoritmica: BST vs Spanning Tree & Tassonomia Gerarchica	LEFT	AI_REASONING	AI_REASONING	L1	Valutazione tecnica: BST puro monodimensionale non modella relazioni cicliche; Spanning Tree Pesato (MST) e Alberi Gerar
Analisi Tecnica, Complessità e Gap Analysis App Lingue	LEFT	AI_REASONING	AI_REASONING	L1	Valutazione complessità a 3/5, tempi 3-5 giorni per MVP, identificati 4 gap tecnici essenziali (pipeline batch, TTS neur
Analisi Vulnerabilità e Scalabilità del Grafo Cognitivo	LEFT	AI_REASONING	AI_REASONING	L1	Identificazione di mancanze critiche nella gestione temporale (decadimento, versioning dei nodi conflittuali) e suggerim
Architettura Anti-Amnesia: Grafo Esterno vs Context Window Effimera	LEFT	AI_REASONING	AI_REASONING	L1	Deduzione logica Gemini: disaccoppiare la memoria a lungo termine dal context buffer del modello trasforma l'AI da sessi
Architettura Modulare PWA con FSRS e LLM Locale	LEFT	AI_REASONING	AI_REASONING	L1	Proposta di architettura basata su motore Spaced Repetition (FSRS/SM-2), Web Speech API per audio/TTS nativo e integrazi
Deduzione AI: Architettura Client Unificato Multi-AI a Costo Zero	LEFT	AI_REASONING	AI_REASONING	L1	Proposta architetturale: web-app/desktop locale leggera con FastAPI + frontend reattivo Tailwind, selettore provider (Gr
Deduzione AI: Architettura JARVIS Voice Agent Zero-Cost con Connettoma MCP	LEFT	AI_REASONING	AI_REASONING	L1	Validato stack vocale a costo zero: openWakeWord per hotword, Groq/Faster-Whisper per STT rapido, Groq/Gemini Flash per 
Deduzione AI: Architettura a Cluster Tematici Indipendenti	LEFT	AI_REASONING	AI_REASONING	L1	Ragionamento architetturale: creare nodi CONVERSATION_EPISODE autonomi permette di archiviare chat eterogenee senza crea
Deduzione AI: Architettura di Distribuzione MCP + System Directives Cross-Modello	LEFT	AI_REASONING	AI_REASONING	L1	Claude Desktop e Antigravity usano JSON-RPC stdio MCP; ChatGPT usa OpenAPI Actions HTTPS su Render; tutti condividono il
Deduzione AI: Archiviazione Jarvis e Pulizia Ambiente	LEFT	AI_REASONING	AI_REASONING	L1	Cancellati i repository Desktop/Jarvis e Desktop/OpenJarvis. Connettoma aggiornato, predisposizione per nuovo obiettivo.
Deduzione AI: Chiarimento Architetturale: Coesistenza della Topo	LEFT	AI_REASONING	AI_REASONING	L1	Definito formalmente il principio di 'Dualità Overlay-Substrato': il Grafo preserva la totalità relazionale e le proprie
Deduzione AI: Creazione e Rilascio JARVIS Voice Assistant Completata	LEFT	AI_REASONING	AI_REASONING	L1	Completata la creazione del progetto autonomo JARVIS in /Users/pierfrancesco/Desktop/Jarvis. Tutti i moduli operativi e 
Deduzione AI: Formalizzazione Formale del Gating Emisferico Selettivo	LEFT	AI_REASONING	AI_REASONING	L1	La soppressione controlaterale massimizza il Signal-to-Noise Ratio (SNR), azzera il crosstalk semantico ed evita allucin
Deduzione AI: Formalizzazione dei Cluster Tematici ad Alta Coesione Interna	LEFT	AI_REASONING	AI_REASONING	L1	La topologia a comunità modulari massimizza la Modularity Q di Newman, prevenendo il degrado delle ricerche BFS e FTS5.
Deduzione AI: Integrazione Nativa OpenJarvis con Connettoma Neurale	LEFT	AI_REASONING	AI_REASONING	L1	Implementato il tool UniversalBrainTool per OpenJarvis e configurato il supporto MCP verso CervelloArtificiale/mcp_serve
Deduzione AI: Piano Architetturale Modulare JARVIS Separato	LEFT	AI_REASONING	AI_REASONING	L1	Definita la struttura autonoma a 5 moduli per JARVIS su Desktop/Jarvis, con client di collegamento bi-direzionale verso 
Deduzione AI: Rilascio e Sincronizzazione dell'Hierarchical Tree	LEFT	AI_REASONING	AI_REASONING	L1	Formalizzata la transizione dell'Universal Knowledge Graph in una piattaforma multiscalare dotata di motore ad albero na
Deduzione AI: Risposta Perfetta di OpenJarvis con Connettoma Neurale	LEFT	AI_REASONING	AI_REASONING	L1	OpenJarvis ha interrogato brain.db tramite UniversalBrainTool e generato una risposta completa e accurata sull'identità 
Deduzione AI: Specifiche Tecniche e Mappatura Comandi dell'Hub C	LEFT	AI_REASONING	AI_REASONING	L1	Definita la pipeline I/O perimetrale: Telegram App -> HTTPS Webhook (/api/telegram/webhook) -> Whitelist Auth -> Intent 
Deduzione AI: Stato Cognitivo Condiviso e Continuità Inter-Modello	LEFT	AI_REASONING	AI_REASONING	L1	L'unificazione del contesto in un grafo bi-emisferico supera il silo conversazionale dei singoli LLM, trasformando istan
Deduzione AI: Tassonomia e Classificazione Formale dell'Universa	LEFT	AI_REASONING	AI_REASONING	L1	Mappate le 4 dimensioni: Topologica (Heterogeneous Multigraph), Epistemica (Epistemic Property Graph), Cognitiva (Episod
Deduzione AI: Traduzione e Consolidamento del Benchmark Comparat	LEFT	AI_REASONING	AI_REASONING	L1	Tradotto fedelmente il framework di comparazione tecnica e gerarchizzazione delle strutture ad albero.
Deduzione AI: Trasparenza Architettura Ibrida MCP / OpenAPI / Markdown e Aggiornamento Master Prompt	LEFT	AI_REASONING	AI_REASONING	L1	Spiegata la coesistenza reale tra MCP locale (desktop) e OpenAPI/HTTP/Markdown (web). Aggiornato il Master Prompt in sta
Deduzione AI: Unificazione Architetturale tra Knowledge Graph e	LEFT	AI_REASONING	AI_REASONING	L1	Formalizzata la pipeline: Knowledge Graph -> Spreading Activation -> Local Tree Search (ToT/MCTS) -> Trajectory Evaluati
Deduzione AI: Validazione Formale del Grafo Frattale e Implementazione 0€	LEFT	AI_REASONING	AI_REASONING	L1	Il modello Graph-of-Graphs abbatte la complessità computazionale a O(log N) e riduce i token del 95% tramite drill-down.
Deduzione AI: Valutazione Tecnica delle Strutture ad Albero (MST	LEFT	AI_REASONING	AI_REASONING	L1	Mappati 4 layer strutturali: B+Tree (Storage), Radix Trie (Lexical Routing O(k)), Hierarchical Dendrogram (Context Scopi
Deduzione AI: Valutazione e Design di un Telegram Bot come Inter	LEFT	AI_REASONING	AI_REASONING	L1	Telegram funge da periferica I/O cognitiva mobile (Sensorimotor / Interaction Layer) collegata via API al backend neural
